"city","county","state",fips
"adell","sheboygan","WI",55117
"adelphi","ross","OH",39141
"adelphia","monmouth","NJ",34025
"adena","jefferson","OH",39067
"adger","jefferson","AL",1073
"adin","modoc","CA",6049
"adirondack","warren","NY",36113
"adjuntas","adjuntas","PR",72001
"adkins","bexar","TX",48029
"admire","lyon","KS",20111
"adna","lewis","WA",53041
"adolph","st louis","MN",27137
"adolphus","allen","KY",21003
"adona","perry","AR",5105
"adrian","emanuel","GA",13107
"adrian","lenawee","MI",26091
"adrian","nobles","MN",27105
"adrian","bates","MO",29013
"adrian","malheur","OR",41045
"adrian","armstrong","PA",42005
"adrian","oldham","TX",48359
"adrian","upshur","WV",54097
"advance","boone","IN",18011
"advance","stoddard","MO",29207
"advance","davie","NC",37059
"advent","jackson","WV",54035
"afton","union","IA",19175
"afton","cheboygan","MI",26031
"afton","washington","MN",27163
"afton","chenango","NY",36017
"afton","delaware","OK",40115
"afton","greene","TN",47059
"afton","dickens","TX",48125
"afton","nelson","VA",51125
"afton","rock","WI",55105
"afton","lincoln","WY",56023
"agana heights","nan","GU",66010
"agar","sully","SD",46119
"agat","nan","GU",66010
"agate","elbert","CO",8039
"agate","rolette","ND",38079
"agawam","hampden","MA",25013
"agency","wapello","IA",19179
"agency","buchanan","MO",29021
"agenda","republic","KS",20157
"ages brookside","harlan","KY",21095
"agness","curry","OR",41015
"agoura hills","los angeles","CA",6037
"agra","phillips","KS",20147
"agra","lincoln","OK",40081
"agua dulce","nueces","TX",48355
"aguada","aguada","PR",72003
"aguadilla","nan","PR",72005
"aguanga","riverside","CA",NULL
"aguas buenas","aguas buenas","PR",NULL
"aguila","maricopa","AZ",4013
"aguilar","las animas","CO",8071
"aguirre","salinas","PR",NULL
"ah gwah ching","cass","MN",27021
"ahmeek","keweenaw","MI",26083
"ahoskie","hertford","NC",37091
"ahsahka","clearwater","ID",16035
"ahwahnee","madera","CA",6039
"aibonito","aibonito","PR",NULL
"aiea","honolulu","HI",15003
"aiken","aiken","SC",45003
"aiken","floyd","TX",48153
"ailey","montgomery","GA",13209
"aimwell","catahoula parish","LA",22025
"ainsworth","washington","IA",19183
"ainsworth","brown","NE",31017
"airville","york","PA",42133
"airway heights","spokane","WA",53063
"aitkin","aitkin","MN",27001
"ajo","pima","AZ",4019
"akaska","walworth","SD",46129
"akeley","hubbard","MN",27057
"akers","tangipahoa parish","LA",22105
"akiachak","bethel census area","AK",2050
"akiak","bethel census area","AK",2050
"akin","franklin","IL",17055
"akron","hale","AL",1065
"akron","washington","CO",8121
"akron","plymouth","IA",19149
"akron","fulton","IN",18049
"akron","tuscola","MI",26157
"akron","erie","NY",36029
"akron","summit","OH",39153
"akron","lancaster","PA",42071
"akutan","aleutians east borough","AK",2010
"alabaster","shelby","AL",1117
"alachua","alachua","FL",12001
"aladdin","crook","WY",56011
"alakanuk","wade hampton census area","AK",2270
"alamance","alamance","NC",37001
"alameda","alameda","CA",6001
"alamo","contra costa","CA",6013
"alamo","wheeler","GA",13309
"alamo","montgomery","IN",18107
"alamo","williams","ND",38105
"alamo","lincoln","NV",32017
"alamo","crockett","TN",47033
"alamo","hidalgo","TX",48215
"alamogordo","otero","NM",35035
"alamosa","alamosa","CO",8003
"alanreed","gray","TX",48179
"alanson","emmet","MI",26047
"alapaha","berrien","GA",13019
"alba","antrim","MI",26009
"alba","jasper","MO",29097
"alba","bradford","PA",42015
"alba","wood","TX",48499
"albany","alameda","CA",6001
"albany","dougherty","GA",13095
"albany","whiteside","IL",17195
"albany","delaware","IN",18035
"albany","clinton","KY",21053
"albany","livingston parish","LA",22063
"albany","stearns","MN",27145
"albany","gentry","MO",29075
"albany","albany","NY",36001
"albany","athens","OH",39009
"albany","bryan","OK",40013
"albany","linn","OR",41043
"albany","shackelford","TX",48417
"albany","orleans","VT",50019
"albany","green","WI",55045
"albemarle","stanly","NC",37167
"albers","clinton","IL",17027
"albert","barton","KS",20009
"albert","caddo","OK",40015
"albert city","buena vista","IA",19021
"albert lea","freeborn","MN",27047
"alberta","wilcox","AL",1131
"alberta","stevens","MN",27149
"alberta","brunswick","VA",51025
"alberton","mineral","MT",30061
"albertson","duplin","NC",37061
"albertson","nassau","NY",36059
"albertville","marshall","AL",1095
"albertville","wright","MN",27171
"albia","monroe","IA",19135
"albin","laramie","WY",56021
"albion","mendocino","CA",6045
"albion","marshall","IA",19127
"albion","cassia","ID",16031
"albion","edwards","IL",17047
"albion","noble","IN",18113
"albion","kennebec","ME",23011
"albion","calhoun","MI",26025
"albion","boone","NE",31011
"albion","orleans","NY",36073
"albion","pushmataha","OK",40127
"albion","erie","PA",42049
"albion","providence","RI",44007
"albion","whitman","WA",53075
"alborn","st. louis","MN",27137
"albright","preston","WV",54077
"albrightsville","carbon","PA",42025
"albuquerque","bernalillo","NM",35001
"alburgh","grand isle","VT",50013
"alburnett","linn","IA",19113
"alburtis","lehigh","PA",42077
"alcalde","rio arriba","NM",35039
"alcester","union","SD",46127
"alcoa","blount","TN",47009
"alcolu","clarendon","SC",45027
"alcova","natrona","WY",56025
"alcove","albany","NY",36001
"alda","hall","NE",31079
"alden","hardin","IA",19083
"alden","mchenry","IL",17111
"alden","rice","KS",20159
"alden","antrim","MI",26009
"alden","freeborn","MN",27047
"alden","erie","NY",36029
"alder","madison","MT",30057
"alder creek","oneida","NY",36065
"alderpoint","humboldt","CA",NULL
"alderson","pittsburg","OK",40121
"alderson","greenbrier","WV",54063
"aldie","loudoun","VA",NULL
"aldrich","todd","MN",27159
"aldrich","polk","MO",29167
"aledo","mercer","IL",17131
"aledo","parker","TX",48367
"aleknagik","dillingham census area","AK",2070
"aleppo","greene","PA",42059
"alex","grady","OK",40051
"alexander","saline","AR",5119
"alexander","franklin","IA",19069
"alexander","morgan","IL",17137
"alexander","rush","KS",20165
"alexander","buncombe","NC",37021
"alexander","mckenzie","ND",38053
"alexander","genesee","NY",36037
"alexander city","tallapoosa","AL",1123
"alexandria","calhoun","AL",1015
"alexandria","madison","IN",18095
"alexandria","campbell","KY",21037
"alexandria","rapides parish","LA",22079
"alexandria","douglas","MN",27041
"alexandria","clark","MO",29045
"alexandria","thayer","NE",31169
"alexandria","licking","OH",39089
"alexandria","huntingdon","PA",42061
"alexandria","hanson","SD",46061
"alexandria","dekalb","TN",47041
"alexandria","nan","VA",51510
"alexandria bay","jefferson","NY",36045
"alexis","warren","IL",17187
"alexis","gaston","NC",37071
"alford","jackson","FL",12063
"alfred","york","ME",23031
"alfred","allegany","NY",36003
"alfred station","allegany","NY",36003
"alger","arenac","MI",26011
"alger","hardin","OH",39065
"algodones","sandoval","NM",35043
"algoma","pontotoc","MS",28115
"algoma","kewaunee","WI",55061
"algona","kossuth","IA",19109
"algonac","st. clair","MI",26147
"algonquin","mchenry","IL",17111
"alhambra","los angeles","CA",6037
"alhambra","madison","IL",17119
"alice","jim wells","TX",48249
"aliceville","pickens","AL",1107
"alicia","lawrence","AR",5075
"alief","harris","TX",48201
"aline","alfalfa","OK",40003
"aliquippa","beaver","PA",42009
"aliso viejo","orange","CA",6059
"alix","franklin","AR",5047
"alkol","lincoln","WV",54043
"allakaket","yukon-koyukuk census area","AK",2290
"allamuchy","warren","NJ",34041
"allardt","fentress","TN",47049
"alledonia","belmont","OH",39013
"alleene","little river","AR",5081
"allegan","allegan","MI",26005
"allegany","cattaraugus","NY",36009
"allegany","coos","OR",41011
"alleghany","sierra","CA",6091
"alleman","polk","IA",19153
"allen","lyon","KS",20111
"allen","floyd","KY",21071
"allen","wicomico","MD",24045
"allen","hillsdale","MI",26059
"allen","dixon","NE",31051
"allen","pontotoc","OK",40123
"allen","bennett","SD",46007
"allen","collin","TX",48085
"allen junction","wyoming","WV",54109
"allen park","wayne","MI",26163
"allendale","wabash","IL",17185
"allendale","ottawa","MI",26139
"allendale","worth","MO",29227
"allendale","bergen","NJ",34003
"allendale","allendale","SC",45005
"allenhurst","liberty","GA",13179
"allenhurst","monmouth","NJ",34025
"allenport","washington","PA",42125
"allenspark","boulder","CO",8013
"allensville","todd","KY",21219
"allensville","mifflin","PA",42087
"allenton","st. clair","MI",26147
"allenton","st. louis","MO",29189
"allenton","washington","WI",55131
"allentown","wilkinson","GA",13319
"allentown","monmouth","NJ",34025
"allentown","allegany","NY",36003
"allentown","lehigh","PA",42077
"allenwood","monmouth","NJ",34025
"allenwood","union","PA",42119
"allerton","wayne","IA",19185
"allerton","vermilion","IL",17183
"alleyton","colorado","TX",48089
"allgood","blount","AL",1009
"alliance","pamlico","NC",37137
"alliance","box butte","NE",31013
"alliance","stark","OH",39151
"alligator","coahoma","MS",28011
"allison","butler","IA",19023
"allison","fayette","PA",42051
"allison","wheeler","TX",48483
"allison park","allegheny","PA",42003
"allons","overton","TN",47133
"allouez","keweenaw","MI",26083
"alloway","salem","NJ",34033
"alloy","fayette","WV",54019
"allport","clearfield","PA",42033
"allred","overton","TN",47133
"allston","suffolk","MA",25025
"allyn","mason","WA",53045
"alma","crawford","AR",5033
"alma","park","CO",8093
"alma","bacon","GA",13005
"alma","marion","IL",17121
"alma","wabaunsee","KS",20197
"alma","gratiot","MI",26057
"alma","lafayette","MO",29107
"alma","harlan","NE",31083
"alma","allegany","NY",36003
"alma","buffalo","WI",55011
"alma","tyler","WV",54095
"alma center","jackson","WI",55053
"almelund","chisago","MN",27025
"almena","norton","KS",20137
"almena","barron","WI",55005
"almira","lincoln","WA",53043
"almo","cassia","ID",16031
"almo","calloway","KY",21035
"almond","graham","NC",37173
"almond","allegany","NY",36003
"almond","portage","WI",55097
"almont","gunnison","CO",8051
"almont","lapeer","MI",26087
"almont","morton","ND",38059
"almyra","arkansas","AR",5001
"alna","lincoln","ME",23015
"alpaugh","tulare","CA",6107
"alpena","carroll","AR",5009
"alpena","alpena","MI",26007
"alpena","jerauld","SD",46073
"alpha","henry","IL",17073
"alpha","clinton","KY",21053
"alpha","iron","MI",26071
"alpha","jackson","MN",27063
"alpha","greene","OH",39057
"alpharetta","fulton","GA",NULL
"alpine","talladega","AL",1121
"alpine","clark","AR",NULL
"alpine","apache","AZ",4001
"alpine","san diego","CA",NULL
"alpine","bergen","NJ",34003
"alpine","schuyler","NY",36097
"alpine","overton","TN",47133
"alpine","brewster","TX",48043
"alpine","utah","UT",49049
"alpine","lincoln","WY",56023
"alplaus","schenectady","NY",36093
"alsea","benton","OR",41003
"alsen","cavalier","ND",38019
"alsey","scott","IL",17171
"alsip","cook","IL",NULL
"alstead","cheshire","NH",33005
"alston","montgomery","GA",13209
"alta","placer","CA",6061
"alta","buena vista","IA",19021
"alta","teton","WY",NULL
"alta vista","chickasaw","IA",19037
"alta vista","wabaunsee","KS",20197
"altadena","los angeles","CA",6037
"altair","colorado","TX",48089
"altamahaw","alamance","NC",37001
"altamont","effingham","IL",17049
"altamont","labette","KS",20099
"altamont","daviess","MO",29061
"altamont","albany","NY",36001
"altamont","grundy","TN",47061
"altamont","duchesne","UT",49013
"altamonte springs","seminole","FL",12117
"altaville","calaveras","CA",6009
"altavista","campbell","VA",51031
"altenburg","perry","MO",29157
"altha","calhoun","FL",12013
"altheimer","jefferson","AR",5069
"altmar","oswego","NY",36075
"alto","habersham","GA",13137
"alto","kent","MI",26081
"alto","lincoln","NM",35027
"alto","cherokee","TX",48073
"alto pass","union","IL",17181
"alton","jefferson","AL",1073
"alton","sioux","IA",19167
"alton","madison","IL",17119
"alton","osborne","KS",20141
"alton","oregon","MO",29149
"alton","belknap","NH",33001
"alton","wayne","NY",36117
"alton","kane","UT",49025
"alton","halifax","VA",51083
"alton bay","belknap","NH",33001
"altona","knox","IL",17095
"altona","clinton","NY",36019
"altonah","duchesne","UT",49013
"altoona","etowah","AL",1055
"altoona","lake","FL",12069
"altoona","polk","IA",19153
"altoona","wilson","KS",20205
"altoona","blair","PA",42013
"altoona","eau claire","WI",55035
"altura","winona","MN",27169
"alturas","modoc","CA",6049
"alturas","polk","FL",12105
"altus","franklin","AR",5047
"altus","jackson","OK",40065
"altus afb","jackson","OK",40065
"alum bank","bedford","PA",42009
"alum bridge","lewis","WV",54041
"alum creek","lincoln","WV",54039
"alva","lee","FL",12071
"alva","woods","OK",40151
"alva","crook","WY",56011
"alvada","seneca","OH",39147
"alvadore","lane","OR",41039
"alvarado","marshall","MN",27089
"alvarado","johnson","TX",48251
"alvaton","warren","KY",21227
"alverda","indiana","PA",42063
"alverton","westmoreland","PA",42129
"alvin","vermilion","IL",17183
"alvin","brazoria","TX",48039
"alviso","santa clara","CA",6085
"alvo","cass","NE",31025
"alvord","lyon","IA",19119
"alvord","wise","TX",48497
"alvordton","williams","OH",39171
"alzada","carter","MT",30011
"ama","st. charles parish","LA",22089
"amado","pima","AZ",4023
"amador city","amador","CA",6005
"amagansett","suffolk","NY",36103
"amagon","jackson","AR",5067
"amalia","taos","NM",35055
"amana","iowa","IA",19095
"amanda","fairfield","OH",39045
"amanda park","grays harbor","WA",53027
"amargosa valley","nye","NV",32023
"amarillo","randall","TX",48381
"amasa","iron","MI",26071
"amawalk","westchester","NY",36119
"amazonia","andrew","MO",29003
"amber","grady","OK",40051
"amberg","marinette","WI",55075
"amberson","franklin","PA",42055
"ambia","benton","IN",18007
"ambler","northwest arctic borough","AK",2140
"ambler","montgomery","PA",42091
"amboy","san bernardino","CA",6071
"amboy","lee","IL",17103
"amboy","miami","IN",18103
"amboy","blue earth","MN",27013
"amboy","clark","WA",53011
"ambridge","beaver","PA",42007
"ambrose","coffee","GA",13069
"ambrose","divide","ND",38023
"amelia","st mary parish","LA",22101
"amelia","holt","NE",31089
"amelia","clermont","OH",39025
"amelia court house","amelia","VA",51007
"amenia","cass","ND",38017
"amenia","dutchess","NY",36027
"american canyon","napa","CA",NULL
"american falls","power","ID",16077
"american fork","utah","UT",49049
"americus","sumter","GA",13261
"americus","lyon","KS",20111
"amery","polk","WI",55095
"ames","story","IA",19169
"ames","dodge","NE",31053
"ames","major","OK",40093
"amesbury","essex","MA",25009
"amesville","athens","OH",39009
"amherst","phillips","CO",8095
"amherst","hampshire","MA",25015
"amherst","buffalo","NE",31019
"amherst","hillsborough","NH",33011
"amherst","lorain","OH",39093
"amherst","marshall","SD",46091
"amherst","lamb","TX",48279
"amherst","amherst","VA",51009
"amherst","portage","WI",55097
"amherst junction","portage","WI",55097
"amherstdale","logan","WV",54045
"amidon","slope","ND",38087
"amigo","wyoming","WV",54109
"amissville","culpeper","VA",NULL
"amistad","union","NM",35059
"amite","tangipahoa parish","LA",22105
"amity","clark","AR",5019
"amity","dekalb","MO",29063
"amity","yamhill","OR",41071
"amity","washington","PA",42125
"amityville","suffolk","NY",36103
"amlin","franklin","OH",39049
"amma","roane","WV",54087
"ammon","amelia","VA",NULL
"amo","hendricks","IN",18063
"amonate","tazewell","VA",51185
"amoret","bates","MO",29013
"amorita","alfalfa","OK",40003
"amory","monroe","MS",28095
"amsterdam","bates","MO",29013
"amsterdam","montgomery","NY",36057
"amsterdam","jefferson","OH",39081
"amston","tolland","CT",9013
"anabel","macon","MO",29121
"anacoco","vernon parish","LA",22115
"anaconda","deer lodge","MT",30023
"anacortes","skagit","WA",53057
"anadarko","caddo","OK",40015
"anaheim","orange","CA",6059
"anahola","kauai","HI",15007
"anahuac","chambers","TX",48071
"anaktuvuk pass","north slope borough","AK",2185
"analomink","monroe","PA",42089
"anamoose","mchenry","ND",38049
"anamosa","jones","IA",19105
"anasco","añasco","PR",72011
"anatone","asotin","WA",53003
"anawalt","mcdowell","WV",54047
"anchor","mclean","IL",17113
"anchor point","kenai peninsula borough","AK",2122
"anchorage","north slope borough","AK",2070
"anchorville","st. clair","MI",26147
"ancona","livingston","IL",17105
"ancram","columbia","NY",36021
"ancramdale","columbia","NY",36021
"andale","sedgwick","KS",20173
"andalusia","covington","AL",1039
"andalusia","rock island","IL",17161
"anderson","denali borough","AK",2290
"anderson","lauderdale","AL",1077
"anderson","shasta","CA",6089
"anderson","madison","IN",18095
"anderson","mcdonald","MO",29119
"anderson","anderson","SC",45007
"anderson","grimes","TX",48185
"anderson island","pierce","WA",53053
"andersonville","sumter","GA",13193
"andersonville","anderson","TN",47001
"andes","delaware","NY",36025
"andover","tolland","CT",9013
"andover","clinton","IA",19045
"andover","henry","IL",17073
"andover","butler","KS",20015
"andover","essex","MA",25017
"andover","oxford","ME",23017
"andover","anoka","MN",27003
"andover","merrimack","NH",33013
"andover","sussex","NJ",34037
"andover","allegany","NY",36003
"andover","ashtabula","OH",39007
"andover","day","SD",46037
"andover","wise","VA",51195
"andreas","schuylkill","PA",42107
"andrew","jackson","IA",19097
"andrews","huntington","IN",18069
"andrews","cherokee","NC",37039
"andrews","georgetown","SC",45043
"andrews","andrews","TX",48003
"andrews air force base","prince george's","MD",NULL
"aneta","nelson","ND",38063
"aneth","san juan","UT",49037
"angel fire","colfax","NM",35007
"angela","garfield","MT",30087
"angeles","nan","PR",72141
"angelica","allegany","NY",36003
"angels camp","calaveras","CA",6009
"angelus oaks","san bernardino","CA",6071
"angie","washington parish","LA",22117
"angier","harnett","NC",37085
"angle inlet","lake of the woods","MN",27077
"angleton","brazoria","TX",48039
"angola","steuben","IN",18151
"angola","west feliciana parish","LA",22125
"angola","erie","NY",36029
"angoon","hoonah-angoon census area","AK",2231
"angora","st. louis","MN",27137
"angora","morrill","NE",31123
"anguilla","sharkey","MS",28125
"angwin","napa","CA",6055
"aniak","bethel census area","AK",2050
"animas","hidalgo","NM",35023
"anita","cass","IA",19029
"anita","jefferson","PA",42065
"aniwa","marathon","WI",55115
"ankeny","polk","IA",19153
"anmoore","harrison","WV",54033
"ann arbor","washtenaw","MI",26161
"anna","union","IL",17181
"anna","shelby","OH",39149
"anna","collin","TX",NULL
"anna maria","manatee","FL",12081
"annabella","sevier","UT",49041
"annada","pike","MO",29163
"annandale","wright","MN",27171
"annandale","hunterdon","NJ",34019
"annandale","fairfax","VA",51059
"annandale on hudson","dutchess","NY",36027
"annapolis","sonoma","CA",6097
"annapolis","crawford","IL",17033
"annapolis","anne arundel","MD",24003
"annapolis","iron","MO",29093
"annapolis junction","howard","MD",24027
"annawan","henry","IL",17073
"annemanie","wilcox","AL",1131
"anniston","calhoun","AL",1015
"anniston","mississippi","MO",29133
"annona","red river","TX",48387
"annville","jackson","KY",21109
"annville","lebanon","PA",42075
"anoka","anoka","MN",27003
"anselmo","custer","NE",31041
"ansley","custer","NE",31041
"anson","somerset","ME",23025
"anson","jones","TX",48253
"ansonia","new haven","CT",9009
"ansonia","darke","OH",39037
"ansonville","anson","NC",37007
"ansted","fayette","WV",54019
"antelope","sacramento","CA",NULL
"antelope","sheridan","MT",30091
"antelope","wasco","OR",41065
"antes fort","lycoming","PA",42081
"anthon","woodbury","IA",19193
"anthony","marion","FL",12083
"anthony","harper","KS",20077
"anthony","doña ana","NM",35013
"anthony","el paso","TX",48141
"antigo","langlade","WI",55067
"antimony","garfield","UT",49017
"antioch","contra costa","CA",6013
"antioch","lake","IL",17097
"antioch","davidson","TN",47037
"antler","bottineau","ND",38009
"antlers","pushmataha","OK",40127
"antoine","pike","AR",5109
"anton","washington","CO",8121
"anton","hockley","TX",48219
"anton chico","guadalupe","NM",35019
"antonito","conejos","CO",8021
"antrim","hillsborough","NH",33011
"antwerp","jefferson","NY",36045
"antwerp","paulding","OH",39125
"anvik","yukon-koyukuk census area","AK",2290
"anza","riverside","CA",NULL
"apache","caddo","OK",40015
"apache junction","pinal","AZ",4021
"apalachicola","franklin","FL",12037
"apalachin","tioga","NY",36107
"apex","wake","NC",37183
"apison","hamilton","TN",47065
"aplington","butler","IA",19023
"apo","nan","AA",NULL
"apo","nan","AE",36061
"apo","nan","AP",6075
"apollo","westmoreland","PA",42005
"apollo beach","hillsborough","FL",NULL
"apopka","orange","FL",12095
"appalachia","wise","VA",51195
"apple creek","wayne","OH",39169
"apple grove","mason","WV",54053
"apple river","jo daviess","IL",17085
"apple springs","trinity","TX",48455
"apple valley","san bernardino","CA",6071
"applegate","placer","CA",6061
"applegate","sanilac","MI",26151
"appleton","swift","MN",27151
"appleton","niagara","NY",36063
"appleton","klickitat","WA",53039
"appleton","outagamie","WI",55087
"appleton city","st. clair","MO",29185
"appling","columbia","GA",13073
"appomattox","appomattox","VA",51011
"aptos","santa cruz","CA",6087
"apulia station","onondaga","NY",36067
"aquasco","prince george's","MD",24033
"aquashicola","carbon","PA",42025
"aquebogue","suffolk","NY",36103
"aquilla","hill","TX",48217
"arab","marshall","AL",1095
"arabi","crisp","GA",13081
"arabi","st. bernard parish","LA",22087
"aragon","polk","GA",13233
"aragon","catron","NM",35003
"aransas pass","san patricio","TX",48409
"arapaho","custer","OK",40039
"arapahoe","cheyenne","CO",8017
"arapahoe","pamlico","NC",37137
"arapahoe","furnas","NE",31065
"arapahoe","fremont","WY",56013
"ararat","surry","NC",37171
"ararat","patrick","VA",51141
"arbela","scotland","MO",29199
"arboles","archuleta","CO",8007
"arbon","power","ID",16077
"arbovale","pocahontas","WV",54075
"arbuckle","colusa","CA",6011
"arbyrd","dunklin","MO",29069
"arcade","wyoming","NY",36121
"arcadia","los angeles","CA",6037
"arcadia","desoto","FL",NULL
"arcadia","carroll","IA",19027
"arcadia","hamilton","IN",18057
"arcadia","crawford","KS",20037
"arcadia","bienville parish","LA",22013
"arcadia","manistee","MI",26101
"arcadia","iron","MO",29093
"arcadia","valley","NE",31175
"arcadia","hancock","OH",39063
"arcadia","oklahoma","OK",40109
"arcadia","indiana","PA",42063
"arcadia","spartanburg","SC",45083
"arcadia","trempealeau","WI",55121
"arcanum","darke","OH",39037
"arcata","humboldt","CA",6023
"arch cape","clatsop","OR",41007
"archbald","lackawanna","PA",42069
"archbold","fulton","OH",39051
"archer","alachua","FL",12001
"archer","o'brien","IA",19141
"archer","merrick","NE",31121
"archer city","archer","TX",48009
"archibald","richland parish","LA",22083
"archie","cass","MO",29037
"arco","butte","ID",16023
"arco","lincoln","MN",27081
"arcola","douglas","IL",17041
"arcola","allen","IN",18003
"arcola","dade","MO",29057
"arcola","washington","MS",28151
"arcola","montgomery","PA",42091
"arcola","loudoun","VA",NULL
"arctic village","yukon-koyukuk census area","AK",2290
"ardara","westmoreland","PA",42129
"arden","buncombe","NC",37021
"arden","orange","NY",36071
"ardenvoir","chelan","WA",53007
"ardmore","limestone","AL",1083
"ardmore","nan","OK",40019
"ardmore","montgomery","PA",42091
"ardmore","giles","TN",47055
"ardsley","westchester","NY",36119
"ardsley on hudson","westchester","NY",36119
"arecibo","nan","PR",72013
"aredale","butler","IA",19023
"arena","iowa","WI",55049
"arenas valley","grant","NM",35017
"arendtsville","adams","PA",42001
"arenzville","cass","IL",17017
"argenta","macon","IL",17115
"argillite","greenup","KY",21089
"argonia","sumner","KS",20191
"argonne","forest","WI",55041
"argos","marshall","IN",18099
"argusville","cass","ND",38017
"argyle","walton","FL",12131
"argyle","clinch","GA",13065
"argyle","lee","IA",19111
"argyle","sanilac","MI",26151
"argyle","marshall","MN",27089
"argyle","osage","MO",29151
"argyle","washington","NY",36115
"argyle","denton","TX",48121
"argyle","lafayette","WI",55065
"ariel","cowlitz","WA",53015
"arimo","bannock","ID",16005
"arion","crawford","IA",19047
"aripeka","pasco","FL",12101
"arispe","union","IA",19175
"aristes","columbia","PA",42037
"ariton","dale","AL",1045
"arivaca","pima","AZ",4019
"arizona city","pinal","AZ",4013
"arjay","bell","KY",21013
"ark","gloucester","VA",51073
"arkabutla","tate","MS",28137
"arkadelphia","clark","AR",5019
"arkansas city","desha","AR",5041
"arkansas city","cowley","KS",20035
"arkansaw","pepin","WI",55091
"arkdale","adams","WI",55001
"arkoma","le flore","OK",40079
"arkport","steuben","NY",36101
"arkville","delaware","NY",36025
"arlee","lake","MT",30047
"arley","winston","AL",1133
"arlington","wilcox","AL",1131
"arlington","maricopa","AZ",4013
"arlington","kiowa","CO",8061
"arlington","calhoun","GA",NULL
"arlington","fayette","IA",19065
"arlington","bureau","IL",17011
"arlington","rush","IN",18139
"arlington","reno","KS",20155
"arlington","carlisle","KY",21039
"arlington","middlesex","MA",NULL
"arlington","sibley","MN",27143
"arlington","washington","NE",31177
"arlington","hancock","OH",39063
"arlington","gilliam","OR",41021
"arlington","kingsbury","SD",46077
